0,39.927558,116.47082
1,39.927338,116.47053
24,39.926897,116.47113
57,39.927105,116.47234
82,39.92783,116.47202
124,39.929187,116.47255
127,39.929398,116.47206
202,39.931032,116.47253
203,39.931302,116.47343
204,39.930795,116.47181
205,39.93102,116.47272
236,39.931975,116.47256
276,39.932652,116.4731
291,39.932233,116.47238
293,39.932717,116.47183
334,39.932762,116.46247
336,39.941495,116.48124
337,39.939612,116.47747
338,39.962672,116.48128
339,39.961997,116.45629
341,39.934857,116.45543
345,39.933423,116.45723
346,39.867298,116.44189
348,39.865193,116.44419
351,39.951682,116.4492
355,39.932542,116.45587
383,39.941608,116.45604
384,39.953858,116.47548
385,39.955482,116.48239
386,39.956518,116.48133
392,39.900853,116.50835
395,39.915212,116.48789
396,39.899942,116.48401
398,39.899438,116.48426
399,39.899428,116.48471
400,39.899768,116.48435
405,39.90523,116.47626
408,39.967588,116.41067
413,39.96749,116.40564
424,39.967172,116.40559
428,39.967092,116.40428
430,39.967597,116.40083
435,39.96746,116.39511
450,39.96665,116.39099
451,39.966942,116.38926
452,39.967247,116.38978
456,39.967293,116.38461
481,39.96664,116.38053
493,39.96712,116.37918
503,39.966497,116.36506
557,39.966418,116.32976
591,39.966045,116.32301
620,39.965547,116.32071
630,39.966032,116.3193
678,39.965857,116.31533
757,39.975133,116.31124
782,39.981857,116.31006
796,39.981892,116.31068
834,39.981235,116.30982
848,39.98115,116.31108
866,39.980767,116.31082
879,39.98085,116.31021
883,39.982048,116.31125
884,39.980845,116.31009
885,39.980735,116.31083
907,39.981087,116.31001
932,39.981353,116.31077
955,39.982922,116.31113
1077,39.979913,116.3114
1080,39.979793,116.31077
1125,39.97865,116.31012
1158,39.978688,116.30903
1287,39.980538,116.30621
1339,39.979865,116.30656
1347,39.979945,116.30597
1402,39.98111,116.30668
1501,39.981213,116.31017
1566,39.979458,116.31
1584,39.980717,116.30515
1750,39.981322,116.31035
1792,39.979137,116.31073
1862,39.977963,116.31034
1931,39.975618,116.31098
1946,39.975412,116.31166
1959,39.97458,116.31182
1999,39.975375,116.3185
2003,39.974928,116.31854
2009,39.974838,116.32035
2019,39.975342,116.3268
2041,39.974938,116.32695
2047,39.975258,116.3274
2080,39.975053,116.342
2106,39.972882,116.34236
2114,39.972162,116.34488
2192,39.968185,116.34432
2210,39.967148,116.34457
2232,39.967155,116.34533
2247,39.967447,116.34509
2271,39.96695,116.34528
2337,39.967458,116.34529
2400,39.967098,116.34529
2422,39.967485,116.34492
2424,39.966802,116.34543
2443,39.96613,116.34327
2475,39.966498,116.34735
2488,39.966102,116.35286
2506,39.966603,116.35671
2509,39.966267,116.36004
2554,39.966678,116.37765
2568,39.96685,116.38224
2571,39.967497,116.38361
2575,39.967062,116.38396
2586,39.966993,116.38812
2615,39.96738,116.40575
2629,39.967772,116.40831
2635,39.967937,116.42948
2650,39.966437,116.43312
2672,39.95918,116.44397
2673,39.96651,116.43955
2674,39.9666,116.44137
2675,39.959002,116.44511
2723,39.952007,116.45451
2725,39.950317,116.45536
2831,39.932775,116.45521
2856,39.932253,116.46022
2892,39.93237,116.46424
2912,39.93185,116.46721
2914,39.932262,116.46759
2919,39.932388,116.46969
2925,39.932958,116.47045
2933,39.932352,116.47068
2946,39.933013,116.47015
2950,39.933432,116.47049
2954,39.932302,116.47123
2979,39.932062,116.4721
3085,39.928378,116.47198
3093,39.927415,116.4724
3111,39.926953,116.47188
3141,39.927428,116.47116
